var1,var2,pearson_corr
สนใจ_Content_ด้านบันเทิง,สนใจ_อาหารสุขภาพ,-0.03125702841564311
สนใจ_Content_เกี่่ยวกับเกมส์,สนใจ_อาหารสุขภาพ,-0.13859058021583665
สนใจ_Content_เกี่ยวกับการ_review_ร้านอาหาร,สนใจ_อาหารสุขภาพ,0.009822901499137254
สนใจ_Content_เกี่ยวกับการท่องเที่ยว,สนใจ_อาหารสุขภาพ,0.20643490706918113
สนใจ_Content_เกี่ยวกับการแต่งบ้าน,สนใจ_อาหารสุขภาพ,0.13243638222944928
สนใจ_Content_เกี่ยวกับการโทรทัศน์,สนใจ_อาหารสุขภาพ,0.17728514986858462
สนใจ_Content_เกี่ยวกับละคร,สนใจ_อาหารสุขภาพ,0.10565561220626296
สนใจ_Content_เกี่ยวกับการเมือง,สนใจ_อาหารสุขภาพ,0.21077739812116658
บริโภค_อาหารญี่ปุ่น,สนใจ_อาหารสุขภาพ,0.009147324026698309
บริโภค_อาหารจึน,สนใจ_อาหารสุขภาพ,0.07540465056669525
บริโภค_อาหารไทย,สนใจ_อาหารสุขภาพ,-0.019205127078250166
บริโภค_อาหารอีสาน,สนใจ_อาหารสุขภาพ,0.23655513595096653
บริโภค_อาหารสุขภาพ,สนใจ_อาหารสุขภาพ,0.6749429047659063
บริโภค_บุฟเฟต์,สนใจ_อาหารสุขภาพ,-0.13122220158473036
บริโภค_ชาบูชาบู,สนใจ_อาหารสุขภาพ,-0.17014895372962077
บริโภค_ปิ้งย่าง,สนใจ_อาหารสุขภาพ,-0.1308876307875453
บริโภค_เหล้าเบียร์,สนใจ_อาหารสุขภาพ,-0.09771400048976134
บริโภค_เสื้อผ้าแฟชั่น,สนใจ_อาหารสุขภาพ,0.05497032088228771
บริโภค_แต่งหน้า,สนใจ_อาหารสุขภาพ,0.07643499069585981
บริโภค_skincare_บำรุงผิว,สนใจ_อาหารสุขภาพ,0.05177909914065866
บริโภค_การออกกำลังกาย,สนใจ_อาหารสุขภาพ,0.347268926413643
บริโภค_การเล่นเกมส์,สนใจ_อาหารสุขภาพ,-0.07766204009429346
บริโภค_การท่องเที่ยว,สนใจ_อาหารสุขภาพ,0.2463767775314904
บริโภค_การอ่านหนังสือ,สนใจ_อาหารสุขภาพ,0.0434939373408266
บริโภค_การอ่านบทความ_Online,สนใจ_อาหารสุขภาพ,0.20230911500478002
บริโภค_การเรียน_e-learning,สนใจ_อาหารสุขภาพ,-0.16394908356882068
บริโภค_ดู_Series,สนใจ_อาหารสุขภาพ,0.21488261493053706
บริโภค_ดูหนัง,สนใจ_อาหารสุขภาพ,-0.008417405036170719
บริโภค_ดู_Youtube,สนใจ_อาหารสุขภาพ,-0.17426162819281313
บริโภค_ดู_Netflix,สนใจ_อาหารสุขภาพ,0.0723992094688438
บริโภค_Content_ด้านบันเทิง,สนใจ_อาหารสุขภาพ,-0.16745727057252538
บริโภค_Content_เกี่่ยวกับเกมส์,สนใจ_อาหารสุขภาพ,-0.1654359838453198
บริโภค_Content_เกี่ยวกับการ_review_ร้านอาหาร,สนใจ_อาหารสุขภาพ,0.031144032673200064
บริโภค_Content_เกี่ยวกับการท่องเที่ยว,สนใจ_อาหารสุขภาพ,0.2453251780607323
บริโภค_Content_เกี่ยวกับการแต่งบ้าน,สนใจ_อาหารสุขภาพ,0.18142448141452552
บริโภค_Content_เกี่ยวกับการโทรทัศน์,สนใจ_อาหารสุขภาพ,0.21550959832420352
บริโภค_Content_เกี่ยวกับละคร,สนใจ_อาหารสุขภาพ,0.035129397716276774
บริโภค_Content_เกี่ยวกับการเมือง,สนใจ_อาหารสุขภาพ,0.12233676869339938
birth_year,สนใจ_อาหารสุขภาพ,-0.2521768004580431
age,สนใจ_อาหารสุขภาพ,0.2555607364000393
สนใจ_อาหารญี่ปุ่น,สนใจ_บุฟเฟต์,0.4198977901591939
สนใจ_อาหารจึน,สนใจ_บุฟเฟต์,-0.046305606994022974
สนใจ_อาหารไทย,สนใจ_บุฟเฟต์,0.028238555582881013
สนใจ_อาหารอีสาน,สนใจ_บุฟเฟต์,-0.02113538798905227
